approach,r2,rmse,importance,feature
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_7
xgb_gain,0.0,0.0,0.0,dg_pca_feature_8
xgb_gain,0.0,0.0,0.0,dg_pca_feature_9
xgb_gain,0.0,0.0,0.0,dg_pca_feature_10
xgb_gain,0.0,0.0,0.0,dg_pca_feature_11
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_12
xgb_gain,0.0,0.0,0.0,dg_pca_feature_13
xgb_gain,0.0,0.0,0.0,dg_pca_feature_14
xgb_gain,0.0,0.0,0.0,dg_pca_feature_15
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_16
xgb_gain,0.0,0.0,0.0,dg_pca_feature_17
xgb_gain,0.0,0.0,0.0500000007450581,dg_pca_feature_18
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_19
xgb_gain,0.0,0.0,0.0,dg_pca_feature_20
xgb_gain,0.0,0.0,0.0,dg_pca_feature_21
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_22
xgb_gain,0.0,0.0,0.0,dg_pca_feature_23
xgb_gain,0.0,0.0,0.0,dg_pca_feature_24
xgb_gain,0.0,0.0,0.0,dg_pca_feature_25
xgb_gain,0.0,0.0,0.0,dg_pca_feature_26
xgb_gain,0.0,0.0,0.0,dg_pca_feature_27
xgb_gain,0.0,0.0,0.0599999986588955,dg_pca_feature_28
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_29
xgb_gain,0.0,0.0,0.0199999995529652,dg_pca_feature_30
xgb_gain,0.0,0.0,0.0,dg_pca_feature_31
xgb_gain,0.0,0.0,0.0,dg_pca_feature_32
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_33
xgb_gain,0.0,0.0,0.0,dg_pca_feature_34
xgb_gain,0.0,0.0,0.0,dg_pca_feature_35
xgb_gain,0.0,0.0,0.0,dg_pca_feature_36
xgb_gain,0.0,0.0,0.0,dg_pca_feature_37
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_38
xgb_gain,0.0,0.0,0.0,dg_pca_feature_39
xgb_gain,0.0,0.0,0.0,dg_pca_feature_40
xgb_gain,0.0,0.0,0.0,dg_pca_feature_41
xgb_gain,0.0,0.0,0.0,dg_pca_feature_42
xgb_gain,0.0,0.0,0.0,dg_pca_feature_43
xgb_gain,0.0,0.0,0.0,dg_pca_feature_44
xgb_gain,0.0,0.0,0.0,dg_pca_feature_45
xgb_gain,0.0,0.0,0.0,dg_pca_feature_46
xgb_gain,0.0,0.0,0.0,dg_pca_feature_47
xgb_gain,0.0,0.0,0.0,dg_pca_feature_48
xgb_gain,0.0,0.0,0.0,dg_pca_feature_49
xgb_gain,0.0,0.0,0.0,dg_pca_feature_50
xgb_gain,0.0,0.0,0.0,dg_pca_feature_51
xgb_gain,0.0,0.0,0.0,dg_pca_feature_52
xgb_gain,0.0,0.0,0.0599999986588955,dg_pca_feature_53
xgb_gain,0.0,0.0,0.0,dg_pca_feature_54
xgb_gain,0.0,0.0,0.0,dg_pca_feature_55
xgb_gain,0.0,0.0,0.0,dg_pca_feature_56
xgb_gain,0.0,0.0,0.0,dg_pca_feature_57
xgb_gain,0.0,0.0,0.0,dg_pca_feature_58
xgb_gain,0.0,0.0,0.0,dg_pca_feature_59
xgb_gain,0.0,0.0,0.0,dg_pca_feature_60
xgb_gain,0.0,0.0,0.0399999991059303,dg_pca_feature_61
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_62
xgb_gain,0.0,0.0,0.0,dg_pca_feature_63
xgb_gain,0.0,0.0,0.0,dg_pca_feature_64
xgb_gain,0.0,0.0,0.0,dg_pca_feature_65
xgb_gain,0.0,0.0,0.0,dg_pca_feature_66
xgb_gain,0.0,0.0,0.0,dg_pca_feature_67
xgb_gain,0.0,0.0,0.0,dg_pca_feature_68
xgb_gain,0.0,0.0,0.0,dg_pca_feature_69
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_70
xgb_gain,0.0,0.0,0.0,dg_pca_feature_71
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_72
xgb_gain,0.0,0.0,0.0,dg_pca_feature_73
xgb_gain,0.0,0.0,0.0,dg_pca_feature_74
xgb_gain,0.0,0.0,0.0,dg_pca_feature_75
xgb_gain,0.0,0.0,0.0,dg_pca_feature_76
xgb_gain,0.0,0.0,0.0,dg_pca_feature_77
xgb_gain,0.0,0.0,0.0,dg_pca_feature_78
xgb_gain,0.0,0.0,0.0,dg_pca_feature_79
xgb_gain,0.0,0.0,0.0,dg_pca_feature_80
xgb_gain,0.0,0.0,0.0,dg_pca_feature_81
xgb_gain,0.0,0.0,0.0099999997764826,dg_pca_feature_82
xgb_gain,0.0,0.0,0.0,dg_pca_feature_83
xgb_gain,0.0,0.0,0.0,dg_pca_feature_84
xgb_gain,0.0,0.0,0.0,dg_pca_feature_85
xgb_gain,0.0,0.0,0.0,dg_pca_feature_86
xgb_gain,0.0,0.0,0.0299999993294477,dg_pca_feature_87
xgb_gain,0.0,0.0,0.0,dg_pca_feature_88
xgb_gain,0.0,0.0,0.0,dg_pca_feature_89
xgb_gain,0.0,0.0,0.0,dg_pca_feature_90
xgb_gain,0.0,0.0,0.0,dg_pca_feature_91
