iso2,GEOLEVEL2,rwi_weight,geolev2,rwi,country,pop_sum
NI,558065003,-0.21081068319665264,558065003,-0.6491706234675789,Nicaragua,26611.98245442272
NI,558065004,-0.23393928382017057,558065004,-0.8366978977428025,Nicaragua,21919.314322813418
NI,558070001,0.7888555779449695,558070001,0.4846317149576063,Nicaragua,110263.56178782159
NI,558070002,0.24133586677759455,558070002,-0.31010010093695906,Nicaragua,36778.91965360587
NI,558070003,0.3688038098635232,558070003,-0.3059274992580158,Nicaragua,13695.552986886547
NI,558075001,0.3803765094135556,558075001,0.08033512146715527,Nicaragua,67610.60966086287
NI,558075002,0.4494325916176896,558075002,0.37036022393556,Nicaragua,61013.09078914908
NI,558075003,0.3879634186745477,558075003,0.07399819977969485,Nicaragua,27345.200761185813
NI,558075004,-0.10907376039064465,558075004,-0.5456235911898999,Nicaragua,17857.0137324933
NI,558080001,0.6704643152064204,558080001,0.5255656740575904,Nicaragua,45057.880153377184
NI,558080002,-0.04357547077490478,558080002,-0.6271635428664556,Nicaragua,36927.32241601582
NI,558080003,0.2987104089837366,558080003,-0.34420403355151685,Nicaragua,25350.315886474586
NI,558080004,-0.036918849989957654,558080004,-0.3677415397347071,Nicaragua,18404.488971538318
NI,558080005,0.11304292738491105,558080005,-0.6307299442399846,Nicaragua,13577.2733551151
NI,558085001,-0.40199945564001527,558085001,-1.0981191179326637,Nicaragua,124443.38619353552
PA,591002001,0.13423593252782356,591002001,-0.7531934728351191,Panama,118921.2769168894
PA,591002002,0.23656819712827593,591002002,-0.7531934728351191,Panama,56564.48852888454
PA,591002003,0.5631926171258046,591002003,0.2926446696162696,Panama,48920.05314369859
PA,591002004,-0.23155458720591324,591002004,-1.4694207131171453,Panama,36042.01205391832
PA,591003001,0.6348076169315225,591003001,0.4570248033664817,Panama,234189.80377718504
PA,591003002,-0.4820982984683925,591003002,-1.6894067495753171,Panama,23631.454266509303
PA,591003003,-0.2149217550415793,591003003,-1.5821677478374876,Panama,19931.974174774707
PA,591004001,0.04175544386725716,591004001,-0.8153622355874123,Panama,166651.06756869532
PA,591004002,0.8894963668504833,591004002,0.39253196638074894,Panama,161485.66943944592
PA,591004003,0.39793078543517935,591004003,0.36863183886978795,Panama,107933.44609113852
PA,591004004,0.4271489546539869,591004004,-0.1642215559017377,Panama,90737.4594798486
PA,591004005,0.1724997469106259,591004005,-0.6490061780342515,Panama,79980.77299618773
PA,591004006,-0.317430436921629,591004006,-1.894431837820608,Panama,67481.33592536481
PA,591004007,-0.2468688922346917,591004007,-1.8917235579381295,Panama,48382.53989526402
PA,591004008,-0.34681110369314105,591004008,-1.9442231928379277,Panama,58480.83616189875
PA,591004009,-0.14788589326948232,591004009,-1.0665246323500028,Panama,46547.03486825913
